Code,Name,dispCode,updatedCode
U+1F468 U+200D U+1F467 U+200D U+1F466,"family: man, girl, boy",U0001F468 U000200D U0001F467 U000200D U0001F466,U0001F468 U0000200D U0001F467 U0000200D U0001F466
U+1F468 U+200D U+1F467 U+200D U+1F467,"family: man, girl, girl",U0001F468 U000200D U0001F467 U000200D U0001F467,U0001F468 U0000200D U0001F467 U0000200D U0001F467
U+1F469 U+200D U+1F466,"family: woman, boy",U0001F469 U000200D U0001F466,U0001F469 U0000200D U0001F466
U+1F469 U+200D U+1F466 U+200D U+1F466,"family: woman, boy, boy",U0001F469 U000200D U0001F466 U000200D U0001F466,U0001F469 U0000200D U0001F466 U0000200D U0001F466
U+1F469 U+200D U+1F467,"family: woman, girl",U0001F469 U000200D U0001F467,U0001F469 U0000200D U0001F467
U+1F469 U+200D U+1F467 U+200D U+1F466,"family: woman, girl, boy",U0001F469 U000200D U0001F467 U000200D U0001F466,U0001F469 U0000200D U0001F467 U0000200D U0001F466
U+1F469 U+200D U+1F467 U+200D U+1F467,"family: woman, girl, girl",U0001F469 U000200D U0001F467 U000200D U0001F467,U0001F469 U0000200D U0001F467 U0000200D U0001F467
U+1F3FB,light skin tone,U0001F3FB,U0001F3FB
U+1F3FC,medium-light skin tone,U0001F3FC,U0001F3FC
U+1F3FD,medium skin tone,U0001F3FD,U0001F3FD
U+1F3FE,medium-dark skin tone,U0001F3FE,U0001F3FE
U+1F3FF,dark skin tone,U0001F3FF,U0001F3FF
U+1F4AA,flexed biceps,U0001F4AA,U0001F4AA
U+1F4AA U+1F3FB,flexed biceps: light skin tone,U0001F4AA U0001F3FB,U0001F4AA U0001F3FB
U+1F4AA U+1F3FC,flexed biceps: medium-light skin tone,U0001F4AA U0001F3FC,U0001F4AA U0001F3FC
U+1F4AA U+1F3FD,flexed biceps: medium skin tone,U0001F4AA U0001F3FD,U0001F4AA U0001F3FD
U+1F4AA U+1F3FE,flexed biceps: medium-dark skin tone,U0001F4AA U0001F3FE,U0001F4AA U0001F3FE
U+1F4AA U+1F3FF,flexed biceps: dark skin tone,U0001F4AA U0001F3FF,U0001F4AA U0001F3FF
U+1F933,selfie,U0001F933,U0001F933
U+1F933 U+1F3FB,selfie: light skin tone,U0001F933 U0001F3FB,U0001F933 U0001F3FB
U+1F933 U+1F3FC,selfie: medium-light skin tone,U0001F933 U0001F3FC,U0001F933 U0001F3FC
U+1F933 U+1F3FD,selfie: medium skin tone,U0001F933 U0001F3FD,U0001F933 U0001F3FD
U+1F933 U+1F3FE,selfie: medium-dark skin tone,U0001F933 U0001F3FE,U0001F933 U0001F3FE
U+1F933 U+1F3FF,selfie: dark skin tone,U0001F933 U0001F3FF,U0001F933 U0001F3FF
U+1F448,backhand index pointing left,U0001F448,U0001F448
U+1F448 U+1F3FB,backhand index pointing left: light skin tone,U0001F448 U0001F3FB,U0001F448 U0001F3FB
U+1F448 U+1F3FC,backhand index pointing left: medium-light skin tone,U0001F448 U0001F3FC,U0001F448 U0001F3FC
U+1F448 U+1F3FD,backhand index pointing left: medium skin tone,U0001F448 U0001F3FD,U0001F448 U0001F3FD
U+1F448 U+1F3FE,backhand index pointing left: medium-dark skin tone,U0001F448 U0001F3FE,U0001F448 U0001F3FE
U+1F448 U+1F3FF,backhand index pointing left: dark skin tone,U0001F448 U0001F3FF,U0001F448 U0001F3FF
