_,Code,Name
414,U+1F473 U+1F3FD,person wearing turban: medium skin tone
415,U+1F473 U+1F3FE,person wearing turban: medium-dark skin tone
416,U+1F473 U+1F3FF,person wearing turban: dark skin tone
417,U+1F473 U+200D U+2642 U+FE0F,man wearing turban
418,U+1F473 U+1F3FB U+200D U+2642 U+FE0F,man wearing turban: light skin tone
419,U+1F473 U+1F3FC U+200D U+2642 U+FE0F,man wearing turban: medium-light skin tone
420,U+1F473 U+1F3FD U+200D U+2642 U+FE0F,man wearing turban: medium skin tone
421,U+1F473 U+1F3FE U+200D U+2642 U+FE0F,man wearing turban: medium-dark skin tone
422,U+1F473 U+1F3FF U+200D U+2642 U+FE0F,man wearing turban: dark skin tone
423,U+1F473 U+200D U+2640 U+FE0F,woman wearing turban
424,U+1F473 U+1F3FB U+200D U+2640 U+FE0F,woman wearing turban: light skin tone
425,U+1F473 U+1F3FC U+200D U+2640 U+FE0F,woman wearing turban: medium-light skin tone
426,U+1F473 U+1F3FD U+200D U+2640 U+FE0F,woman wearing turban: medium skin tone
427,U+1F473 U+1F3FE U+200D U+2640 U+FE0F,woman wearing turban: medium-dark skin tone
428,U+1F473 U+1F3FF U+200D U+2640 U+FE0F,woman wearing turban: dark skin tone
429,U+1F471,blond-haired person
430,U+1F471 U+1F3FB,blond-haired person: light skin tone
431,U+1F471 U+1F3FC,blond-haired person: medium-light skin tone
432,U+1F471 U+1F3FD,blond-haired person: medium skin tone
433,U+1F471 U+1F3FE,blond-haired person: medium-dark skin tone
434,U+1F471 U+1F3FF,blond-haired person: dark skin tone
435,U+1F471 U+200D U+2642 U+FE0F,blond-haired man
436,U+1F471 U+1F3FB U+200D U+2642 U+FE0F,blond-haired man: light skin tone
437,U+1F471 U+1F3FC U+200D U+2642 U+FE0F,blond-haired man: medium-light skin tone
438,U+1F471 U+1F3FD U+200D U+2642 U+FE0F,blond-haired man: medium skin tone
439,U+1F471 U+1F3FE U+200D U+2642 U+FE0F,blond-haired man: medium-dark skin tone
440,U+1F471 U+1F3FF U+200D U+2642 U+FE0F,blond-haired man: dark skin tone
441,U+1F471 U+200D U+2640 U+FE0F,blond-haired woman
442,U+1F471 U+1F3FB U+200D U+2640 U+FE0F,blond-haired woman: light skin tone
443,U+1F471 U+1F3FC U+200D U+2640 U+FE0F,blond-haired woman: medium-light skin tone
444,U+1F471 U+1F3FD U+200D U+2640 U+FE0F,blond-haired woman: medium skin tone
445,U+1F471 U+1F3FE U+200D U+2640 U+FE0F,blond-haired woman: medium-dark skin tone
